iter	Accuracy	MultiClass
0	0.7658623771	1.028205565
1	0.7667560322	0.9607724387
2	0.7676496872	0.9134594798
3	0.7712243074	0.8677132908
4	0.7855227882	0.8352265151
5	0.7864164433	0.8019033896
6	0.7890974084	0.7744292728
7	0.7899910634	0.7488679632
8	0.7846291332	0.7303814289
9	0.7864164433	0.7119802284
10	0.7882037534	0.6950311491
11	0.7882037534	0.6806404395
12	0.7882037534	0.6671256987
13	0.7890974084	0.6562876194
14	0.7926720286	0.6450662405
15	0.7917783735	0.6361998929
16	0.7926720286	0.6280814894
17	0.7935656836	0.6211581365
18	0.7926720286	0.6140473342
19	0.7926720286	0.609791069
20	0.7917783735	0.6039801238
21	0.7926720286	0.5986776442
22	0.7971403038	0.5930796483
23	0.7971403038	0.5894799434
24	0.7962466488	0.5840687053
25	0.7980339589	0.5791973315
26	0.7980339589	0.5753598239
27	0.7971403038	0.5708422871
28	0.7980339589	0.567960975
29	0.7971403038	0.5637749231
30	0.7980339589	0.5605036823
31	0.799821269	0.5572285737
32	0.800714924	0.5543265829
33	0.800714924	0.5512542475
34	0.8025022341	0.5481117733
35	0.8042895442	0.5454552824
36	0.8025022341	0.5421331915
37	0.8016085791	0.5382496453
38	0.8025022341	0.535803956
39	0.8016085791	0.5334707263
40	0.8033958892	0.5305927249
41	0.8051831993	0.5289748767
42	0.8042895442	0.5273349983
43	0.8042895442	0.5245305672
44	0.8051831993	0.5222652472
45	0.8051831993	0.52027958
46	0.8042895442	0.5178057923
47	0.8051831993	0.5157188253
48	0.8060768543	0.5137703622
49	0.8069705094	0.5120030409
50	0.8060768543	0.5104823852
51	0.8069705094	0.5074068232
52	0.8087578195	0.5046792437
53	0.8087578195	0.5024173834
54	0.8096514745	0.5006310961
55	0.8096514745	0.4986550977
56	0.8114387846	0.4966856214
57	0.8114387846	0.494479363
58	0.8114387846	0.4935109655
59	0.8114387846	0.4915455249
60	0.8114387846	0.4891382461
61	0.8114387846	0.4874455278
62	0.8123324397	0.4857349117
63	0.8132260947	0.4838714448
64	0.8132260947	0.4811930874
65	0.8132260947	0.4794953942
66	0.8159070599	0.4780052596
67	0.81769437	0.4760018758
68	0.81769437	0.4732258544
69	0.8194816801	0.4709497861
70	0.8203753351	0.4685928061
71	0.8221626452	0.4670079399
72	0.8221626452	0.4649870377
73	0.8212689902	0.4627879731
74	0.8257372654	0.4603981461
75	0.8266309205	0.4593477963
76	0.8257372654	0.457380373
77	0.8248436104	0.455537676
78	0.8257372654	0.4541679641
79	0.8248436104	0.4533839707
80	0.8248436104	0.4518714305
81	0.8266309205	0.4502759282
82	0.8239499553	0.448991309
83	0.8275245755	0.4481665176
84	0.8284182306	0.446728056
85	0.8310991957	0.4449597215
86	0.8310991957	0.4437278723
87	0.8337801609	0.4411779504
88	0.8346738159	0.4399299679
89	0.8346738159	0.4377559023
90	0.8337801609	0.4364484167
91	0.8337801609	0.4349584685
92	0.8346738159	0.4332633106
93	0.8346738159	0.4322451525
94	0.836461126	0.43042162
95	0.8373547811	0.4284129153
96	0.8373547811	0.4267650085
97	0.8373547811	0.4258021859
98	0.8382484361	0.4240127063
99	0.8391420912	0.4216926743
100	0.8409294013	0.4193265422
101	0.8409294013	0.4187402015
102	0.8418230563	0.4175947739
103	0.8418230563	0.4165413283
104	0.8453976765	0.4149540511
105	0.8453976765	0.4134037464
106	0.8445040214	0.4124490452
107	0.8445040214	0.4113037489
108	0.8453976765	0.4096525777
109	0.8453976765	0.4081458684
110	0.8453976765	0.4074352233
111	0.8471849866	0.406816659
112	0.8480786416	0.4049028284
113	0.8489722967	0.4040900864
114	0.8489722967	0.4029258732
115	0.8507596068	0.4022481796
116	0.8507596068	0.4014999951
117	0.8507596068	0.3997962015
118	0.8516532618	0.3982890701
119	0.8498659517	0.3974118048
120	0.855227882	0.396078101
121	0.8561215371	0.3935030346
122	0.8588025022	0.3920739973
123	0.8588025022	0.3905513484
124	0.8588025022	0.3897933743
125	0.8579088472	0.3891614314
126	0.8605898123	0.3875383314
127	0.8605898123	0.3868617299
128	0.8605898123	0.3854810416
129	0.8614834674	0.3839697274
130	0.8596961573	0.3824622198
131	0.8623771224	0.3814642712
132	0.8614834674	0.3804317962
133	0.8605898123	0.3795850105
134	0.8605898123	0.3787634089
135	0.8605898123	0.3766664505
136	0.8605898123	0.3752658335
137	0.8605898123	0.3741049354
138	0.8605898123	0.3730681612
139	0.8605898123	0.3723080103
140	0.8614834674	0.3711448459
141	0.8623771224	0.3702910966
142	0.8641644325	0.3689268658
143	0.8632707775	0.3672782007
144	0.8632707775	0.3661903867
145	0.8650580876	0.3647879137
146	0.8650580876	0.363824498
147	0.8650580876	0.3634402456
148	0.8650580876	0.3626624986
149	0.8668453977	0.361174859
150	0.8668453977	0.3606656435
151	0.8668453977	0.3597704493
152	0.8677390527	0.3585402718
153	0.8677390527	0.3573152337
154	0.8677390527	0.3562645907
155	0.8686327078	0.3554206008
156	0.8704200179	0.3544512441
157	0.8704200179	0.3533212858
158	0.872207328	0.3527199747
159	0.8713136729	0.3520843163
160	0.873100983	0.3511929671
161	0.8739946381	0.3500188945
162	0.8757819482	0.348986838
163	0.8766756032	0.3481270441
164	0.8793565684	0.3464300122
165	0.8811438785	0.3447177538
166	0.8811438785	0.3426797302
167	0.8820375335	0.3420041894
168	0.8820375335	0.3409213122
169	0.8802502234	0.339579969
170	0.8793565684	0.3382565325
171	0.8793565684	0.3374144014
172	0.8829311886	0.3368018112
173	0.8820375335	0.3355098518
174	0.8820375335	0.3349541323
175	0.8838248436	0.3337638182
176	0.8847184987	0.3319678601
177	0.8856121537	0.3313309284
178	0.8873994638	0.3303187805
179	0.8882931189	0.3295642261
180	0.8891867739	0.3285998644
181	0.8891867739	0.3280337146
182	0.8891867739	0.3273390747
183	0.8891867739	0.3259737665
184	0.8891867739	0.3248249365
185	0.8891867739	0.3239566517
186	0.8891867739	0.3229283592
187	0.8891867739	0.3220879574
188	0.890080429	0.3209959208
189	0.8918677391	0.3196377227
190	0.8927613941	0.3191158315
191	0.8936550492	0.3187025044
192	0.8927613941	0.3178793262
193	0.890974084	0.3173376234
194	0.8927613941	0.3160802817
195	0.8945487042	0.3153956692
196	0.8945487042	0.3146346205
197	0.8945487042	0.3138019039
198	0.8936550492	0.3131283592
199	0.8945487042	0.3125660561
200	0.8945487042	0.3118312799
201	0.8945487042	0.3106642421
202	0.8945487042	0.3098926262
203	0.8945487042	0.3093870732
204	0.8963360143	0.3084155448
205	0.8981233244	0.3067097687
206	0.8990169794	0.3054779916
207	0.8981233244	0.304818715
208	0.8972296693	0.3041378862
209	0.8990169794	0.3033440802
210	0.8999106345	0.3018581617
211	0.9008042895	0.3004389619
212	0.9008042895	0.2997535406
213	0.9008042895	0.2988612152
214	0.9016979446	0.2982609244
215	0.9016979446	0.2978982015
216	0.9016979446	0.2968092405
217	0.9034852547	0.2957161917
218	0.9034852547	0.2948474418
219	0.9034852547	0.2940367432
220	0.9043789097	0.2927680115
221	0.9052725648	0.2920426866
222	0.9034852547	0.2913565209
223	0.9034852547	0.2907460049
224	0.9043789097	0.2898629789
225	0.9052725648	0.2890791171
226	0.9052725648	0.2880233046
227	0.9079535299	0.2870502936
228	0.90974084	0.2865462089
229	0.9106344951	0.28598866
230	0.9124218052	0.2852006582
231	0.9106344951	0.2845662425
232	0.9106344951	0.2842882202
233	0.9124218052	0.2834705138
234	0.9133154602	0.2822350162
235	0.9124218052	0.2813829073
236	0.9124218052	0.2807835522
237	0.9124218052	0.2793584977
238	0.9133154602	0.279024061
239	0.9142091153	0.2785996882
240	0.9159964254	0.277745263
241	0.9151027703	0.2771816361
242	0.9177837355	0.2763004252
243	0.9168900804	0.2753077285
244	0.9177837355	0.274451562
245	0.9186773905	0.2738480088
246	0.9186773905	0.2734621628
247	0.9204647006	0.272372352
248	0.9195710456	0.2713102247
249	0.9204647006	0.2706760735
250	0.9195710456	0.2702591719
251	0.9195710456	0.2695027124
252	0.9213583557	0.2682092602
253	0.9231456658	0.2673057149
254	0.9258266309	0.2661412504
255	0.9294012511	0.2653531271
256	0.9294012511	0.2649075091
257	0.9285075961	0.2636550304
258	0.9285075961	0.2629478466
259	0.9285075961	0.2619520682
260	0.9285075961	0.2613110641
261	0.9285075961	0.2600005273
262	0.9294012511	0.259764275
263	0.9294012511	0.2585943407
264	0.9302949062	0.2578962381
265	0.9320822163	0.2575041356
266	0.9320822163	0.2570263266
267	0.9329758713	0.2558123025
268	0.9320822163	0.2554223986
269	0.9338695264	0.2552134487
270	0.9347631814	0.2540682954
271	0.9347631814	0.2533677159
272	0.9347631814	0.2528025347
273	0.9356568365	0.2524077234
