iter	Passed	Remaining
0	60	30340
1	65	16390
2	72	11996
3	82	10253
4	88	8729
5	94	7783
6	97	6876
7	99	6148
8	102	5587
9	106	5209
10	109	4854
11	111	4521
12	113	4239
13	115	3995
14	117	3794
15	123	3727
16	126	3587
17	129	3474
18	135	3430
19	138	3317
20	140	3201
21	142	3096
22	144	3005
23	147	2924
24	149	2840
25	151	2761
26	153	2693
27	155	2627
28	157	2564
29	161	2537
30	164	2486
31	166	2435
32	168	2385
33	170	2338
34	174	2319
35	177	2292
36	180	2254
37	182	2215
38	184	2179
39	187	2154
40	189	2121
41	191	2087
42	193	2060
43	195	2028
44	197	1999
45	202	1999
46	205	1983
47	207	1957
48	209	1930
49	211	1907
50	216	1905
51	219	1894
52	222	1874
53	224	1853
54	227	1843
55	230	1825
56	232	1807
57	234	1788
58	236	1768
59	238	1750
60	241	1735
61	243	1718
62	246	1710
63	252	1718
64	255	1709
65	257	1694
66	259	1679
67	261	1663
68	264	1650
69	266	1634
70	269	1629
71	271	1615
72	273	1602
73	276	1589
74	278	1577
75	282	1575
76	285	1570
77	287	1557
78	289	1544
79	293	1539
80	296	1532
81	298	1521
82	300	1510
83	302	1499
84	305	1489
85	309	1489
86	311	1479
87	313	1468
88	315	1457
89	318	1448
90	320	1439
91	322	1429
92	326	1429
93	329	1421
94	332	1418
95	335	1411
96	338	1406
97	340	1397
98	342	1388
99	344	1378
100	346	1369
101	349	1363
102	352	1357
103	356	1356
104	362	1361
105	369	1373
106	372	1367
107	375	1364
108	377	1355
109	382	1356
110	384	1348
111	387	1342
112	389	1334
113	391	1326
114	396	1326
115	398	1320
116	402	1318
117	405	1311
118	410	1312
119	413	1308
120	415	1301
121	417	1294
122	421	1291
123	427	1296
124	429	1289
125	431	1281
126	434	1275
127	437	1271
128	440	1266
129	442	1258
130	447	1260
131	449	1253
132	451	1246
133	453	1239
134	456	1233
135	458	1226
136	460	1220
137	462	1213
138	465	1208
139	467	1202
140	469	1195
141	472	1191
142	477	1193
143	480	1187
144	482	1180
145	484	1174
146	486	1168
147	489	1163
148	491	1157
149	493	1152
150	495	1146
151	497	1140
152	500	1134
153	503	1131
154	505	1125
155	508	1121
156	511	1116
157	513	1110
158	515	1106
159	518	1100
160	519	1094
161	522	1090
162	525	1087
163	529	1084
164	533	1082
165	537	1081
166	539	1076
167	542	1071
168	545	1068
169	547	1063
170	550	1058
171	552	1053
172	554	1048
173	559	1048
174	563	1046
175	566	1042
176	569	1038
177	571	1033
178	573	1027
179	578	1028
180	580	1023
181	583	1019
182	585	1014
183	587	1008
184	589	1003
185	591	998
186	593	994
187	596	990
188	598	985
189	600	980
190	603	975
191	605	970
192	607	965
193	611	963
194	613	960
195	616	956
196	619	952
197	621	947
198	624	944
199	628	942
200	631	939
201	633	934
202	640	936
203	642	932
204	644	927
205	649	926
206	653	924
207	655	920
208	661	920
209	664	917
210	671	920
211	677	920
212	683	920
213	686	917
214	690	915
215	695	914
216	700	912
217	703	910
218	706	906
219	710	903
220	713	900
221	715	896
222	717	891
223	719	886
224	726	887
225	728	883
226	734	883
227	738	880
228	740	876
229	744	873
230	747	870
231	749	866
232	752	862
233	755	858
234	763	861
235	765	856
236	767	852
237	771	849
238	776	848
239	780	845
240	783	841
241	785	837
242	789	835
243	792	831
244	794	826
245	795	821
246	798	817
247	800	813
248	804	810
249	807	807
250	809	803
251	811	798
252	813	794
253	818	792
254	820	788
255	822	784
256	824	779
257	826	775
258	830	772
259	834	770
260	836	766
261	838	762
262	840	757
263	843	754
264	846	750
265	849	747
266	852	743
267	857	742
268	863	741
269	869	740
270	873	738
271	878	736
272	881	732
273	884	729
274	886	725
275	889	721
276	891	717
277	894	714
278	897	710
279	900	707
280	902	703
281	907	701
282	912	699
283	917	697
284	920	694
285	922	690
286	924	685
287	927	682
288	929	678
289	931	674
290	933	670
291	935	666
292	937	662
293	940	658
294	942	655
295	945	651
296	948	648
297	950	644
298	954	641
299	958	638
300	961	635
301	963	631
302	965	627
303	970	625
304	977	625
305	981	622
306	986	620
307	990	617
308	997	616
309	1001	613
310	1007	612
311	1010	609
312	1015	606
313	1017	602
314	1026	602
315	1028	599
316	1030	595
317	1032	591
318	1035	587
319	1038	584
320	1040	580
321	1044	577
322	1046	573
323	1048	569
324	1053	567
325	1056	564
326	1060	561
327	1063	557
328	1065	554
329	1068	550
330	1070	546
331	1072	542
332	1074	539
333	1077	535
334	1080	532
335	1082	528
336	1087	526
337	1090	522
338	1093	519
339	1097	516
340	1099	512
341	1102	509
342	1106	506
343	1109	503
344	1111	499
345	1114	496
346	1116	492
347	1120	489
348	1123	486
349	1127	483
350	1129	479
351	1131	475
352	1134	472
353	1136	468
354	1138	465
355	1140	461
356	1144	458
357	1147	455
358	1149	451
359	1151	447
360	1154	444
361	1156	440
362	1158	437
363	1162	434
364	1166	431
365	1168	427
366	1171	424
367	1173	420
